Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
564575,Bechlín,971,590,587,45,2,0,29,24,65,11,3,9,1,1,60,0,15,245,0,1,11,0,1,0,0,64,0
564591,Bohušovice nad Ohří,1997,1166,1159,103,4,1,90,45,126,22,14,13,3,2,88,0,32,424,0,6,33,0,4,3,5,136,5
564613,Brňany,347,181,180,18,0,0,11,8,31,3,1,0,0,0,17,0,5,57,0,0,5,0,2,0,0,18,4
564621,Brozany nad Ohří,1014,569,565,96,1,1,51,16,47,5,7,4,0,2,51,0,33,171,0,0,17,0,2,0,0,60,1
546755,Brzánky,67,50,50,4,0,0,3,4,0,0,0,0,0,1,7,0,2,15,0,0,3,0,0,1,0,10,0
564648,Bříza,336,180,180,17,0,0,12,6,28,1,0,2,1,0,15,0,9,60,0,1,0,0,4,4,0,18,2
564656,Budyně nad Ohří,1727,999,988,108,1,2,50,38,156,9,13,7,1,2,95,0,59,289,2,8,27,0,7,4,6,99,5
546780,Býčkovice,243,122,122,11,1,0,4,2,23,1,0,3,0,0,14,1,4,39,0,1,3,0,0,0,0,15,0
564672,Ctiněves,265,172,172,15,0,1,10,9,20,5,4,2,1,0,26,0,6,49,0,0,1,0,0,2,0,19,2
546852,Černěves,182,114,114,16,0,0,5,9,7,1,0,3,0,0,19,0,2,23,0,2,3,0,0,0,0,24,0
564699,Černiv,132,51,51,1,0,0,6,5,9,0,1,0,0,0,2,0,0,20,0,0,0,0,0,1,0,6,0
542423,Černouček,248,158,158,24,0,0,14,3,19,0,1,1,0,0,21,0,17,39,1,0,2,0,1,0,0,13,2
564711,Čížkovice,1109,564,560,28,2,1,33,20,59,7,10,14,1,1,44,0,8,250,0,0,14,0,0,2,2,63,1
564729,Děčany,300,170,170,11,0,0,5,4,20,3,2,6,1,0,3,0,2,84,1,0,2,0,1,0,1,24,0
564737,Dlažkovice,102,66,66,1,0,0,2,2,5,2,1,0,0,0,3,0,1,41,0,0,1,0,0,0,1,6,0
564745,Dobříň,447,302,300,43,2,0,30,10,31,4,5,2,1,2,35,0,16,81,0,1,9,0,1,0,0,27,0
564753,Doksany,325,191,191,21,0,0,14,4,21,4,3,6,0,0,21,0,8,38,1,3,15,0,1,0,2,29,0
553646,Dolánky nad Ohří,209,105,105,14,0,0,3,1,10,0,1,0,0,0,14,0,2,29,0,0,0,0,1,0,0,28,2
564770,Drahobuz,222,116,116,6,0,0,9,4,23,0,2,3,0,0,11,0,2,32,0,0,2,2,0,0,1,19,0
564818,Dušníky,296,178,178,15,1,1,11,19,18,7,4,3,0,1,14,0,5,58,0,0,4,0,1,1,2,11,2
564834,Evaň,233,129,129,13,0,0,10,3,33,1,2,1,0,0,6,1,2,49,0,1,1,0,0,0,1,5,0
564842,Hlinná,227,157,156,13,0,0,7,12,11,8,1,3,0,0,14,0,8,58,0,0,5,0,0,0,0,16,0
564851,Horní Beřkovice,758,447,445,43,0,0,30,20,61,8,6,10,2,1,53,0,11,138,0,1,6,0,1,1,1,51,1
546763,Horní Řepčice,79,61,61,2,0,0,4,0,7,0,1,1,0,0,5,0,2,26,0,1,5,0,0,0,0,6,1
564877,Hoštka,1336,843,838,90,1,1,32,25,151,11,11,17,3,3,85,0,26,243,0,2,25,1,6,0,4,92,9
564893,Hrobce,530,318,312,44,4,1,19,14,26,2,2,3,1,0,41,2,14,105,0,0,8,0,0,0,0,26,0
564923,Chodouny,539,304,302,31,2,0,27,18,32,5,2,6,0,0,31,0,16,70,1,1,8,0,0,0,2,49,1
564931,Chodovlice,131,104,103,5,1,0,13,3,9,1,0,3,0,0,6,0,0,35,0,1,7,0,0,0,1,18,0
564940,Chotěšov,386,210,207,24,1,0,15,14,21,2,8,3,2,2,17,0,3,64,2,0,6,1,7,1,1,12,1
564958,Chotiměř,227,140,139,8,1,0,9,14,4,1,3,5,0,0,10,0,4,59,1,1,5,0,1,0,2,11,0
564966,Chotiněves,169,110,110,14,0,0,19,6,19,1,0,2,0,0,8,0,2,26,0,0,1,0,1,0,1,10,0
546810,Chudoslavice,122,81,81,8,0,0,3,4,12,0,0,0,0,0,13,0,5,26,0,0,2,0,0,0,1,7,0
505528,Jenčice,287,210,210,28,1,0,10,11,15,1,2,4,1,0,17,0,9,87,0,0,5,0,0,0,2,17,0
546771,Kamýk,130,105,105,14,0,0,8,2,7,3,2,3,0,1,5,0,6,32,0,0,2,0,0,0,0,20,0
565016,Keblice,300,157,155,14,0,0,14,7,18,0,1,0,0,0,8,0,1,74,1,0,2,0,0,1,0,14,0
565024,Klapý,402,244,241,14,2,0,8,13,29,6,2,1,1,0,12,0,16,108,0,0,6,0,0,1,1,21,0
565032,Kleneč,426,273,272,28,3,0,20,10,36,4,6,3,0,0,26,2,10,84,0,0,5,0,4,0,0,31,0
565059,Kostomlaty pod Řípem,367,174,174,10,0,1,23,6,20,3,5,1,0,0,23,0,1,60,0,1,1,0,0,1,1,17,0
565067,Krabčice,720,449,446,65,1,0,23,13,41,2,3,7,3,2,37,0,25,137,0,1,18,1,2,3,0,62,0
565075,Křesín,270,180,180,25,0,0,9,2,43,0,0,2,1,0,13,0,4,60,0,0,9,0,1,0,2,8,1
565083,Křešice,1174,673,667,53,2,0,63,23,74,9,12,8,0,0,57,0,13,253,1,3,15,0,3,1,3,68,6
